날짜,강동구,Car registration
2015-10-25,137662.0,3056588.0
2015-10-26,137662.0,3056588.0
2015-10-27,137662.0,3056588.0
2015-10-28,137662.0,3056588.0
2015-10-29,137662.0,3056588.0
2015-10-30,137662.0,3056588.0
2015-10-31,137662.0,3056588.0
2015-11-01,137662.0,3056588.0
2015-11-02,137662.0,3056588.0
2015-11-03,137662.0,3056588.0
2015-11-04,137662.0,3056588.0
2015-11-05,137662.0,3056588.0
2015-11-06,137662.0,3056588.0
2015-11-07,137662.0,3056588.0
2015-11-08,137662.0,3056588.0
2015-11-09,137662.0,3056588.0
2015-11-10,137662.0,3056588.0
2015-11-11,137662.0,3056588.0
2015-11-12,137662.0,3056588.0
2015-11-13,137662.0,3056588.0
2015-11-14,137662.0,3056588.0
2015-11-15,137662.0,3056588.0
2015-11-16,137662.0,3056588.0
2015-11-17,137662.0,3056588.0
2015-11-18,137662.0,3056588.0
2015-11-19,137662.0,3056588.0
2015-11-20,137662.0,3056588.0
2015-11-21,137662.0,3056588.0
2015-11-22,137662.0,3056588.0
2015-11-23,137662.0,3056588.0
2015-11-24,137662.0,3056588.0
2015-11-25,137662.0,3056588.0
2015-11-26,137662.0,3056588.0
2015-11-27,137662.0,3056588.0
2015-11-28,137662.0,3056588.0
2015-11-29,137662.0,3056588.0
2015-11-30,137662.0,3056588.0
2015-12-01,137662.0,3056588.0
2015-12-02,137662.0,3056588.0
2015-12-03,137662.0,3056588.0
2015-12-04,137662.0,3056588.0
2015-12-05,137662.0,3056588.0
2015-12-06,137662.0,3056588.0
2015-12-07,137662.0,3056588.0
2015-12-08,137662.0,3056588.0
2015-12-09,137662.0,3056588.0
2015-12-10,137662.0,3056588.0
2015-12-11,137662.0,3056588.0
2015-12-12,137662.0,3056588.0
2015-12-13,137662.0,3056588.0
2015-12-14,137662.0,3056588.0
2015-12-15,137662.0,3056588.0
2015-12-16,137662.0,3056588.0
2015-12-17,137662.0,3056588.0
2015-12-18,137662.0,3056588.0
2015-12-19,137662.0,3056588.0
2015-12-20,137662.0,3056588.0
2015-12-21,137662.0,3056588.0
2015-12-22,137662.0,3056588.0
2015-12-23,137662.0,3056588.0
2015-12-24,137662.0,3056588.0
2015-12-25,137662.0,3056588.0
2015-12-26,137662.0,3056588.0
2015-12-27,137662.0,3056588.0
2015-12-28,137662.0,3056588.0
2015-12-29,137662.0,3056588.0
2015-12-30,137662.0,3056588.0
2015-12-31,137662.0,3056588.0
2016-01-01,136210.0,3083007.0
2016-01-02,136210.0,3083007.0
2016-01-03,136210.0,3083007.0
