Date,GDP,Economic growth rate
2015-11-22,431570,3.4
2015-11-23,431570,3.4
2015-11-24,431570,3.4
2015-11-25,431570,3.4
2015-11-26,431570,3.4
2015-11-27,431570,3.4
2015-11-28,431570,3.4
2015-11-29,431570,3.4
2015-11-30,431570,3.4
2015-12-01,431570,3.4
2015-12-02,431570,3.4
2015-12-03,431570,3.4
2015-12-04,431570,3.4
2015-12-05,431570,3.4
2015-12-06,431570,3.4
2015-12-07,431570,3.4
2015-12-08,431570,3.4
2015-12-09,431570,3.4
2015-12-10,431570,3.4
2015-12-11,431570,3.4
2015-12-12,431570,3.4
2015-12-13,431570,3.4
2015-12-14,431570,3.4
2015-12-15,431570,3.4
2015-12-16,431570,3.4
2015-12-17,431570,3.4
2015-12-18,431570,3.4
2015-12-19,431570,3.4
2015-12-20,431570,3.4
2015-12-21,431570,3.4
2015-12-22,431570,3.4
2015-12-23,431570,3.4
2015-12-24,431570,3.4
2015-12-25,431570,3.4
2015-12-26,431570,3.4
2015-12-27,431570,3.4
2015-12-28,431570,3.4
2015-12-29,431570,3.4
2015-12-30,431570,3.4
2015-12-31,431570,3.4
2016-01-01,413495,2.8
2016-01-02,413495,2.8
2016-01-03,413495,2.8
2016-01-04,413495,2.8
2016-01-05,413495,2.8
2016-01-06,413495,2.8
2016-01-07,413495,2.8
2016-01-08,413495,2.8
2016-01-09,413495,2.8
2016-01-10,413495,2.8
2016-01-11,413495,2.8
2016-01-12,413495,2.8
2016-01-13,413495,2.8
2016-01-14,413495,2.8
2016-01-15,413495,2.8
2016-01-16,413495,2.8
2016-01-17,413495,2.8
2016-01-18,413495,2.8
2016-01-19,413495,2.8
2016-01-20,413495,2.8
2016-01-21,413495,2.8
2016-01-22,413495,2.8
2016-01-23,413495,2.8
2016-01-24,413495,2.8
2016-01-25,413495,2.8
2016-01-26,413495,2.8
2016-01-27,413495,2.8
2016-01-28,413495,2.8
2016-01-29,413495,2.8
2016-01-30,413495,2.8
2016-01-31,413495,2.8
2016-02-01,413495,2.8
