date,Export amount,Export growth rate,Import amount,Import growth rate
2015-03-15,"46,822,771",-4.6,"38,485,935",-15.5
2015-03-16,"46,822,771",-4.6,"38,485,935",-15.5
2015-03-17,"46,822,771",-4.6,"38,485,935",-15.5
2015-03-18,"46,822,771",-4.6,"38,485,935",-15.5
2015-03-19,"46,822,771",-4.6,"38,485,935",-15.5
2015-03-20,"46,822,771",-4.6,"38,485,935",-15.5
2015-03-21,"46,822,771",-4.6,"38,485,935",-15.5
2015-03-22,"46,822,771",-4.6,"38,485,935",-15.5
2015-03-23,"46,822,771",-4.6,"38,485,935",-15.5
2015-03-24,"46,822,771",-4.6,"38,485,935",-15.5
2015-03-25,"46,822,771",-4.6,"38,485,935",-15.5
2015-03-26,"46,822,771",-4.6,"38,485,935",-15.5
2015-03-27,"46,822,771",-4.6,"38,485,935",-15.5
2015-03-28,"46,822,771",-4.6,"38,485,935",-15.5
2015-03-29,"46,822,771",-4.6,"38,485,935",-15.5
2015-03-30,"46,822,771",-4.6,"38,485,935",-15.5
2015-03-31,"46,822,771",-4.6,"38,485,935",-15.5
2015-04-01,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-02,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-03,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-04,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-05,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-06,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-07,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-08,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-09,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-10,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-11,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-12,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-13,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-14,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-15,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-16,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-17,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-18,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-19,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-20,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-21,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-22,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-23,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-24,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-25,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-26,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-27,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-28,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-29,"46,221,931",-8.0,"37,858,798",-17.5
2015-04-30,"46,221,931",-8.0,"37,858,798",-17.5
2015-05-01,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-02,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-03,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-04,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-05,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-06,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-07,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-08,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-09,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-10,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-11,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-12,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-13,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-14,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-15,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-16,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-17,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-18,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-19,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-20,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-21,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-22,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-23,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-24,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-25,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-26,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-27,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-28,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-29,"42,327,311",-11.0,"36,039,800",-15.4
